constructorId,year,winner
1,1968,0
1,1971,0
1,1972,1
1,1973,0
1,1974,0
1,1975,0
1,1976,0
1,1977,0
1,1978,0
1,1979,0
1,1980,0
1,1981,0
1,1982,0
1,1983,0
1,1984,1
1,1985,1
1,1986,0
1,1987,0
1,1988,1
1,1989,1
1,1990,1
1,1991,1
1,1992,0
1,1993,0
1,1994,0
1,1995,0
1,1996,0
1,1997,0
1,1998,1
1,1999,0
1,2000,0
1,2001,0
1,2002,0
1,2003,0
1,2004,0
1,2005,0
1,2006,0
1,2007,1
1,2008,0
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,0
1,2015,0
1,2016,0
1,2017,0
1,2018,0
1,2019,0
1,2020,0
1,2021,0
1,2022,0
1,2023,0
1,2024,1
2,2006,0
2,2007,0
2,2008,0
2,2009,0
3,1975,0
3,1976,0
3,1978,0
3,1979,0
3,1980,1
3,1981,1
3,1982,0
3,1983,0
3,1984,0
3,1985,0
3,1986,1
3,1987,1
3,1988,0
3,1989,0
3,1990,0
3,1991,0
3,1992,1
3,1993,1
3,1994,1
3,1995,0
3,1996,1
3,1997,1
3,1998,0
3,1999,0
3,2000,0
3,2001,0
3,2002,0
3,2003,0
3,2004,0
3,2005,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,0
3,2017,0
3,2018,0
3,2019,0
3,2020,0
3,2021,0
3,2022,0
3,2023,0
3,2024,0
4,1977,0
4,1978,0
4,1979,0
4,1980,0
4,1981,0
4,1982,0
4,1983,0
4,1984,0
4,1985,0
4,2002,0
4,2003,0
4,2004,0
4,2005,1
4,2006,1
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
4,2020,0
5,2006,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
5,2014,0
5,2015,0
5,2016,0
5,2017,0
5,2018,0
5,2019,0
6,1950,0
6,1951,1
6,1952,1
6,1953,1
6,1954,1
6,1955,0
6,1956,1
6,1957,0
6,1958,1
6,1959,0
6,1960,0
6,1961,1
6,1962,0
6,1963,0
6,1964,0
6,1965,0
6,1966,0
6,1967,0
6,1968,0
6,1969,0
6,1970,1
6,1971,0
6,1972,0
6,1973,0
6,1974,1
6,1975,1
6,1976,1
6,1977,1
6,1978,0
6,1979,1
6,1980,0
6,1981,0
6,1982,1
6,1983,1
6,1984,0
6,1985,0
6,1986,0
6,1987,0
6,1988,0
6,1989,0
6,1990,0
6,1991,0
6,1992,0
6,1993,0
6,1994,0
6,1995,0
6,1996,0
6,1997,0
6,1998,0
6,1999,1
6,2000,1
6,2001,1
6,2002,1
6,2003,1
6,2004,1
6,2005,0
6,2006,0
6,2007,0
6,2008,1
6,2009,0
6,2010,0
6,2011,0
6,2012,0
6,2013,0
6,2014,0
6,2015,0
6,2016,0
6,2017,0
6,2018,0
6,2019,0
6,2020,0
6,2021,0
6,2022,0
6,2023,0
6,2024,0
7,2002,0
7,2003,0
7,2004,0
7,2005,0
7,2006,0
7,2007,0
7,2008,0
7,2009,0
8,2006,0
8,2007,0
8,2008,0
9,2005,0
9,2006,0
9,2007,0
9,2008,0
9,2009,0
9,2010,1
9,2011,1
9,2012,1
9,2013,1
9,2014,0
9,2015,0
9,2016,0
9,2017,0
9,2018,0
9,2019,0
9,2020,0
9,2021,0
9,2022,1
9,2023,1
9,2024,0
10,2008,0
10,2009,0
10,2010,0
10,2011,0
10,2012,0
10,2013,0
10,2014,0
10,2015,0
10,2016,0
10,2017,0
10,2018,0
11,1964,0
11,1965,0
11,1966,0
11,1967,0
11,1968,0
11,2006,0
11,2007,0
11,2008,0
12,2007,0
13,2006,0
14,2006,0
15,1993,0
15,1994,0
15,1995,0
15,1996,0
15,1997,0
15,1998,0
15,1999,0
15,2000,0
15,2001,0
15,2002,0
15,2003,0
15,2004,0
15,2005,0
15,2010,0
15,2011,0
15,2012,0
15,2013,0
15,2014,0
15,2015,0
15,2016,0
15,2017,0
15,2018,0
15,2024,0
16,1999,0
16,2000,0
16,2001,0
16,2002,0
16,2003,0
16,2004,0
16,2005,0
17,1991,0
17,1992,0
17,1993,0
17,1994,0
17,1995,0
17,1996,0
17,1997,0
17,1998,0
17,1999,0
17,2000,0
17,2001,0
17,2002,0
17,2003,0
17,2004,0
17,2005,0
18,1985,0
18,1986,0
18,1987,0
18,1988,0
18,1989,0
18,1990,0
18,1991,0
18,1992,0
18,1993,0
18,1994,0
18,1995,0
18,1996,0
18,1997,0
18,1998,0
18,1999,0
18,2000,0
18,2001,0
18,2002,0
18,2003,0
18,2004,0
18,2005,0
19,2000,0
19,2001,0
19,2002,0
19,2003,0
19,2004,0
20,1997,0
20,1998,0
20,1999,0
20,2000,0
20,2001,0
21,1978,0
21,1979,0
21,1980,0
21,1981,0
21,1982,0
21,1983,0
21,1984,0
21,1985,0
21,1986,0
21,1987,0
21,1988,0
21,1989,0
21,1990,0
21,1997,0
21,1998,0
21,1999,0
21,2000,0
21,2001,0
21,2002,0
22,1986,0
22,1987,0
22,1988,0
22,1989,0
22,1990,0
22,1991,0
22,1992,0
22,1993,0
22,1994,0
22,1995,1
22,1996,0
22,1997,0
22,1998,0
22,1999,0
22,2000,0
22,2001,0
23,2009,1
24,1997,0
24,1998,0
24,1999,0
25,1970,0
25,1971,1
25,1972,0
25,1973,1
25,1974,0
25,1975,0
25,1976,0
25,1977,0
25,1978,0
25,1979,0
25,1980,0
25,1981,0
25,1982,0
25,1983,0
25,1984,0
25,1985,0
25,1986,0
25,1987,0
25,1988,0
25,1989,0
25,1990,0
25,1991,0
25,1992,0
25,1993,0
25,1994,0
25,1995,0
25,1996,0
25,1997,0
25,1998,0
26,1962,0
26,1963,0
26,1967,0
26,1968,0
26,1974,0
26,1975,0
26,1985,0
26,1986,0
26,1991,0
26,1993,0
26,1997,0
27,1976,0
27,1977,0
27,1978,0
27,1979,0
27,1980,0
27,1981,0
27,1982,0
27,1983,0
27,1984,0
27,1985,0
27,1986,0
27,1987,0
27,1988,0
27,1989,0
27,1990,0
27,1991,0
27,1992,0
27,1993,0
27,1994,0
27,1995,0
27,1996,0
28,1995,0
28,1996,0
29,1991,0
29,1992,0
29,1993,0
29,1994,0
29,1995,0
29,1996,0
30,1994,0
30,1995,0
31,1994,0
31,1995,0
32,1958,0
32,1959,0
32,1960,0
32,1962,0
32,1963,0
32,1970,0
32,1972,0
32,1973,0
32,1974,0
32,1975,0
32,1976,0
32,1977,0
32,1978,1
32,1979,0
32,1980,0
32,1981,0
32,1982,0
32,1983,0
32,1984,0
32,1985,0
32,1986,0
32,1987,0
32,1988,0
32,1989,0
32,1990,0
32,1991,0
32,1992,0
32,1993,0
32,1994,0
33,1987,0
33,1988,0
33,1989,0
33,1990,0
33,1991,0
33,1992,0
33,1993,0
33,1994,0
34,1962,0
34,1963,0
34,1970,0
34,1971,0
34,1972,0
34,1973,0
34,1974,0
34,1975,0
34,1977,0
34,1978,0
34,1980,0
34,1981,0
34,1982,0
34,1983,0
34,1984,0
34,1985,0
34,1986,0
34,1987,0
34,1989,0
34,1990,0
34,1991,0
34,1992,0
35,1988,0
35,1989,0
35,1990,0
35,1991,0
35,1992,0
36,1991,0
36,1992,0
37,1970,0
37,1972,0
37,1973,0
37,1974,0
37,1975,0
37,1976,0
37,1977,0
37,1981,0
37,1982,0
37,1987,0
37,1988,0
37,1989,0
37,1992,0
38,1992,0
39,1986,0
39,1987,0
39,1988,0
39,1989,0
39,1990,0
39,1991,0
40,1991,0
41,1990,0
41,1991,0
42,1987,0
42,1988,0
42,1989,0
42,1990,0
42,1991,0
44,1988,0
44,1989,0
44,1990,0
45,1980,0
45,1981,0
45,1982,0
45,1983,0
45,1984,0
45,1985,0
45,1986,0
45,1987,0
45,1988,0
45,1989,0
45,1990,0
46,1989,0
46,1990,0
47,1990,0
48,1988,0
48,1989,0
49,1985,0
49,1986,0
49,1987,0
49,1988,0
49,1989,0
50,1983,0
50,1984,0
50,1985,0
51,1950,1
51,1951,0
51,1963,0
51,1965,0
51,1979,0
51,1980,0
51,1981,0
51,1982,0
51,1983,0
51,1984,0
51,1985,0
51,2019,0
51,2020,0
51,2021,0
51,2022,0
51,2023,0
52,1983,0
52,1984,0
52,1985,0
53,1981,0
53,1982,0
53,1983,0
53,1984,0
53,1985,0
54,1963,0
54,1978,0
54,1979,0
54,1980,0
54,1981,0
54,1982,0
54,1983,0
54,1984,0
55,1978,0
55,1981,0
55,1982,0
55,1983,0
56,1975,0
56,1976,0
56,1977,0
56,1978,0
56,1979,0
56,1980,0
56,1981,0
56,1982,0
57,1973,0
57,1974,0
57,1975,0
57,1976,0
57,1977,0
57,1978,0
57,1979,0
57,1980,0
57,1981,0
57,1982,0
58,1973,0
58,1974,0
58,1976,0
58,1977,0
58,1978,0
58,1979,0
58,1980,0
59,1976,0
59,1977,0
59,1978,0
59,1979,0
60,1978,0
60,1979,0
61,1979,0
62,1979,0
63,1970,0
63,1971,0
63,1972,0
63,1973,0
63,1974,0
63,1975,0
63,1976,0
63,1977,0
63,1978,0
64,1974,0
64,1975,0
64,1976,0
64,1977,0
64,1978,0
65,1978,0
66,1951,0
66,1956,0
66,1957,0
66,1958,0
66,1959,0
66,1960,0
66,1961,0
66,1962,1
66,1963,0
66,1964,1
66,1965,1
66,1966,0
66,1967,0
66,1968,0
66,1969,0
66,1970,0
66,1971,0
66,1972,0
66,1973,0
66,1974,0
66,1975,0
66,1976,0
66,1977,0
67,1974,0
67,1975,0
67,1976,0
67,1977,0
68,1977,0
69,1977,0
