raceId,constructorId,points
1,1,0
1,2,0
1,3,3
1,4,4
1,5,3
1,6,0
1,7,11
1,9,0
1,10,0
1,23,18
2,1,1
2,2,4
2,3,0
2,4,0
2,5,0
2,6,0
2,7,5
2,9,1
2,10,0
2,23,7
3,1,7
3,2,0
3,3,0
3,4,0
3,5,1
3,6,0
3,7,2
3,9,18
3,10,0
3,23,11
4,1,5
4,2,0
4,3,0
4,4,1
4,5,0
4,6,3
4,7,8
4,9,8
4,10,0
4,23,14
5,1,0
5,2,2
5,3,1
5,4,4
5,5,0
5,6,3
5,7,0
5,9,11
5,10,0
5,23,18
6,1,0
6,2,0
6,3,3
6,4,2
6,5,1
6,6,11
6,7,0
6,9,4
6,10,0
6,23,18
7,1,0
7,2,2
7,3,4
7,4,0
7,5,0
7,6,3
7,7,6
7,9,14
7,10,0
7,23,10
8,1,0
8,2,0
8,3,4
8,4,0
8,5,0
8,6,6
8,7,2
8,9,18
8,10,0
8,23,9
9,1,1
9,2,0
9,3,5
9,4,2
9,5,0
9,6,6
9,7,0
9,9,18
9,10,0
9,23,7
10,1,14
10,2,0
10,3,5
10,4,0
10,5,0
10,6,8
10,7,4
10,9,6
10,10,0
10,23,2
11,1,13
11,2,1
11,3,4
11,4,3
11,5,0
11,6,6
11,7,0
11,9,0
11,10,0
11,23,12
12,1,3
12,2,9
12,3,1
12,4,0
12,5,0
12,6,10
12,7,0
12,9,6
12,10,8
12,23,2
13,1,3
13,2,2
13,3,0
13,4,4
13,5,0
13,6,6
13,7,0
13,9,1
13,10,5
13,23,18
14,1,12
14,2,1
14,3,0
14,4,6
14,5,0
14,6,0
14,7,8
14,9,5
14,10,0
14,23,7
15,1,6
15,2,3
15,3,4
15,4,0
15,5,0
15,6,5
15,7,8
15,9,10
15,10,0
15,23,3
16,1,6
16,2,8
16,3,0
16,4,0
16,5,2
16,6,3
16,7,0
16,9,15
16,10,0
16,23,5
17,1,0
17,2,4
17,3,0
17,4,0
17,5,1
17,6,0
17,7,5
17,9,18
17,10,0
17,23,11
18,1,14
18,2,8
18,3,9
18,4,5
18,5,2
18,6,1
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
19,1,10
19,2,11
19,3,0
19,4,1
19,5,0
19,6,10
19,7,5
19,8,0
19,9,2
19,10,0
19,11,0
20,1,4
20,2,11
20,3,1
20,4,0
20,5,0
20,6,18
20,7,3
20,8,0
20,9,2
20,10,0
20,11,0
21,1,6
21,2,5
21,3,2
21,4,0
21,5,0
21,6,18
21,7,1
21,8,0
21,9,4
21,10,0
21,11,3
22,1,8
22,2,9
22,3,1
22,4,3
22,5,0
22,6,16
22,7,0
22,9,2
22,10,0
22,11,0
23,1,11
23,2,8
23,3,2
23,4,0
23,5,4
23,6,6
23,7,0
23,9,5
23,10,0
23,11,3
24,1,0
24,2,18
24,3,0
24,4,0
24,5,1
24,6,4
24,7,8
24,9,6
24,10,0
24,11,2
25,1,5
25,2,4
25,3,0
25,4,3
25,5,0
25,6,18
25,7,6
25,9,3
25,10,0
25,11,0
26,1,14
26,2,8
26,3,1
26,4,3
26,5,0
26,6,5
26,7,2
26,9,0
26,10,0
26,11,6
27,1,14
27,2,7
27,3,0
27,4,8
27,5,1
27,6,9
27,7,0
27,9,0
27,10,0
27,11,0
28,1,14
28,2,1
28,3,0
28,4,8
28,5,0
28,6,6
28,7,10
28,9,0
28,10,0
28,11,0
29,1,13
29,2,6
29,3,1
29,4,0
29,5,3
29,6,10
29,7,6
29,9,0
29,10,0
29,11,0
30,1,6
30,2,11
30,3,0
30,4,5
30,5,6
30,6,10
30,7,0
30,9,1
30,10,0
30,11,0
31,1,10
31,2,10
31,3,0
31,4,5
31,5,10
31,6,3
31,7,0
31,9,1
31,10,0
31,11,0
32,1,6
32,2,3
32,3,9
32,4,10
32,5,4
32,6,0
32,7,5
32,9,2
32,10,0
32,11,0
33,1,0
33,2,8
33,3,0
33,4,15
33,5,3
33,6,8
33,7,4
33,9,1
33,10,0
33,11,0
34,1,10
34,2,7
34,3,0
34,4,6
34,5,0
34,6,14
34,7,2
34,9,0
34,10,0
34,11,0
35,1,6
35,2,0
35,3,0
35,4,8
35,5,5
35,6,16
35,7,4
35,9,0
35,10,0
35,11,0
36,1,14
36,2,5
36,3,2
36,4,4
36,5,0
36,6,13
36,7,1
36,8,0
36,9,0
36,11,0
36,12,0
37,1,18
37,2,5
37,3,0
37,4,4
37,5,0
37,6,10
37,7,2
37,8,0
37,9,0
37,11,0
37,12,0
38,1,12
38,2,8
38,3,0
38,4,1
38,5,0
38,6,16
38,7,2
38,8,0
38,9,0
38,11,0
38,12,0
39,1,14
39,2,5
39,3,3
39,4,2
39,5,0
39,6,10
39,7,0
39,8,1
39,9,4
39,11,0
39,12,0
40,1,18
40,2,7
40,3,2
40,4,5
40,5,0
40,6,7
40,7,0
40,8,0
40,9,0
40,11,0
40,12,0
41,1,12
41,2,8
41,3,6
41,4,5
41,5,0
41,6,4
41,7,1
41,8,3
41,9,0
41,11,0
41,12,0
43,1,8
43,2,9
43,3,0
43,4,3
43,5,0
43,6,18
43,7,0
43,8,0
43,9,0
43,11,1
43,12,0
44,1,14
44,2,8
44,3,0
44,4,3
44,5,0
44,6,14
44,7,0
44,8,0
44,9,0
44,11,0
44,12,0
45,1,10
45,2,5
45,3,5
45,4,1
45,5,0
45,6,8
45,7,0
45,8,0
45,9,10
45,11,0
45,12,0
46,1,15
46,2,10
46,3,2
46,4,1
46,5,0
46,6,8
46,7,3
46,8,0
46,9,0
46,11,0
46,12,0
47,1,10
47,2,6
47,3,2
47,4,3
47,5,0
47,6,18
47,7,0
47,8,0
47,9,0
47,11,0
47,12,0
48,1,18
48,2,9
48,3,3
48,4,2
48,5,0
48,6,6
48,7,0
48,8,0
48,9,0
48,11,1
48,12,0
49,1,11
49,2,4
49,3,3
49,4,1
49,5,0
49,6,18
49,7,0
49,8,0
49,9,2
49,11,0
49,12,0
50,1,10
50,2,2
50,3,0
50,4,12
50,5,0
50,6,9
50,7,0
50,8,0
50,9,5
50,11,0
50,12,1
51,1,8
51,2,2
51,3,0
51,4,0
51,5,8
51,6,16
51,7,0
51,8,0
51,9,1
51,11,4
51,12,0
52,1,8
52,2,7
52,3,5
52,4,0
52,5,0
52,6,18
52,7,1
52,8,0
52,9,0
52,11,0
52,12,0
53,1,10
53,2,0
53,3,5
53,4,10
53,5,0
53,6,8
53,7,0
53,8,0
53,9,1
53,11,5
53,13,0
54,1,5
54,2,2
54,3,0
54,4,18
54,5,0
54,6,7
54,7,1
54,8,0
54,9,0
54,11,6
54,13,0
55,1,8
55,2,8
55,3,0
55,4,14
55,5,0
55,6,0
55,7,6
55,8,0
55,9,1
55,11,2
55,13,0
56,1,10
56,2,0
56,3,3
56,4,9
56,5,0
56,6,15
56,7,0
56,8,0
56,9,0
56,11,2
56,13,0
57,1,5
57,2,1
57,3,2
57,4,11
57,5,0
57,6,16
57,7,0
57,8,0
57,9,0
57,11,4
57,13,0
58,1,4
58,2,1
58,3,0
58,4,16
58,5,0
58,6,13
58,7,0
58,8,0
58,9,0
58,11,5
58,13,0
59,1,8
59,2,2
59,3,0
59,4,13
59,5,0
59,6,4
59,7,1
59,8,0
59,9,6
59,11,5
59,13,0
60,1,9
60,2,3
60,3,0
60,4,15
60,5,0
60,6,12
60,7,0
60,8,0
60,9,0
60,11,0
60,13,0
61,1,6
61,2,2
61,3,0
61,4,15
61,5,0
61,6,12
61,7,3
61,8,0
61,9,1
61,11,0
61,13,0
63,1,6
63,2,1
63,3,0
63,4,11
63,5,0
63,6,16
63,7,5
63,8,0
63,9,0
63,11,0
63,13,0
64,1,6
64,2,0
64,3,0
64,4,7
64,5,0
64,6,18
64,7,2
64,8,0
64,9,1
64,11,5
64,13,0
65,1,8
65,2,6
65,3,0
65,4,0
65,5,0
65,6,3
65,7,3
65,8,0
65,9,4
65,11,15
65,13,0
66,1,4
66,2,0
66,3,0
66,4,11
66,5,0
66,6,16
66,7,2
66,8,0
66,9,0
66,11,6
66,13,0
67,1,8
67,2,7
67,3,0
67,4,5
67,5,0
67,6,10
67,7,2
67,8,0
67,9,0
67,11,7
67,14,0
68,1,4
68,2,2
68,3,1
68,4,14
68,5,0
68,6,10
68,7,0
68,8,0
68,9,0
68,11,8
68,14,0
69,1,4
69,2,1
69,3,0
69,4,16
69,5,0
69,6,8
69,7,5
69,8,0
69,9,0
69,11,5
69,14,0
70,1,5
70,2,0
70,3,0
70,4,11
70,5,0
70,6,15
70,7,0
70,8,0
70,9,0
70,11,8
70,14,0
71,1,4
71,3,4
71,4,16
71,6,8
71,7,0
71,9,7
71,15,0
71,16,0
71,17,0
71,18,0
72,1,5
72,3,6
72,4,10
72,6,2
72,7,12
72,9,4
72,15,0
72,16,0
72,17,0
72,18,0
73,1,10
73,3,3
73,4,10
73,6,0
73,7,13
73,9,1
73,15,2
73,16,0
73,17,0
73,18,0
74,1,6
74,3,5
74,4,10
74,6,8
74,7,4
74,9,1
74,15,5
74,16,0
74,17,0
74,18,0
75,1,12
75,3,3
75,4,12
75,6,0
75,7,11
75,9,1
75,15,0
75,17,0
75,18,0
76,1,14
76,3,14
76,4,5
76,6,3
76,7,3
76,9,0
76,15,0
76,17,0
76,18,0
77,1,2
77,3,8
77,4,13
77,6,10
77,7,1
77,9,5
77,15,0
77,16,0
77,17,0
77,18,0
78,1,10
78,3,4
78,4,0
78,6,14
78,7,3
78,9,3
78,15,5
78,16,0
78,17,0
78,18,0
80,1,8
80,3,0
80,4,13
80,6,6
80,7,6
80,9,0
80,15,1
80,16,5
80,17,0
80,18,0
81,1,16
81,3,0
81,4,13
81,6,5
81,7,1
81,9,0
81,15,0
81,16,4
81,17,0
81,18,0
82,1,8
82,3,0
82,4,15
82,6,4
82,7,3
82,9,2
82,15,1
82,16,6
82,17,0
82,18,0
83,1,10
83,3,5
83,4,0
83,6,8
83,7,11
83,9,0
83,15,0
83,16,5
83,17,0
83,18,0
84,1,16
84,3,0
84,4,13
84,6,0
84,7,3
84,9,3
84,15,0
84,16,4
84,17,0
84,18,0
85,1,15
85,3,2
85,4,14
85,6,0
85,7,7
85,9,0
85,15,0
85,16,1
85,17,0
85,18,0
86,1,10
86,3,5
86,4,8
86,6,4
86,7,2
86,9,0
86,15,3
86,16,6
86,17,1
86,18,0
87,1,18
87,3,0
87,4,10
87,6,8
87,7,1
87,9,0
87,15,0
87,16,2
87,17,0
87,18,0
88,1,10
88,3,5
88,4,14
88,6,2
88,7,1
88,9,3
88,15,0
88,16,4
88,17,0
88,18,0
