driverId,year,winner
1,2007,0
1,2008,1
1,2009,0
1,2010,0
1,2011,0
1,2012,0
1,2013,0
1,2014,1
1,2015,1
1,2016,0
1,2017,1
1,2018,1
1,2019,1
1,2020,1
1,2021,0
1,2022,0
1,2023,0
1,2024,0
2,2000,0
2,2001,0
2,2002,0
2,2003,0
2,2004,0
2,2005,0
2,2006,0
2,2007,0
2,2008,0
2,2009,0
2,2010,0
2,2011,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0
3,2012,0
3,2013,0
3,2014,0
3,2015,0
3,2016,1
4,2001,0
4,2003,0
4,2004,0
4,2005,1
4,2006,1
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2021,0
4,2022,0
4,2023,0
4,2024,0
5,2007,0
5,2008,0
5,2009,0
5,2010,0
5,2011,0
5,2012,0
5,2013,0
6,2007,0
6,2008,0
6,2009,0
7,2008,0
7,2009,0
8,2001,0
8,2002,0
8,2003,0
8,2004,0
8,2005,0
8,2006,0
8,2007,1
8,2008,0
8,2009,0
8,2012,0
8,2013,0
8,2014,0
8,2015,0
8,2016,0
8,2017,0
8,2018,0
8,2019,0
8,2020,0
8,2021,0
9,2006,0
9,2007,0
9,2008,0
9,2009,0
9,2010,0
9,2019,0
9,2021,0
10,2004,0
10,2008,0
10,2009,0
10,2010,0
10,2011,0
10,2012,0
11,2002,0
11,2003,0
11,2004,0
11,2005,0
11,2006,0
11,2007,0
11,2008,0
12,2008,0
12,2009,0
13,2002,0
13,2004,0
13,2005,0
13,2006,0
13,2007,0
13,2008,0
13,2009,0
13,2010,0
13,2011,0
13,2012,0
13,2013,0
13,2014,0
13,2015,0
13,2016,0
13,2017,0
14,1994,0
14,1995,0
14,1996,0
14,1997,0
14,1998,0
14,1999,0
14,2000,0
14,2001,0
14,2002,0
14,2003,0
14,2004,0
14,2005,0
14,2006,0
14,2007,0
14,2008,0
15,1997,0
15,1998,0
15,1999,0
15,2000,0
15,2001,0
15,2002,0
15,2003,0
15,2004,0
15,2005,0
15,2006,0
15,2007,0
15,2008,0
15,2009,0
15,2010,0
15,2011,0
16,2007,0
16,2008,0
16,2009,0
16,2010,0
16,2011,0
16,2013,0
16,2014,0
17,2002,0
17,2003,0
17,2004,0
17,2005,0
17,2006,0
17,2007,0
17,2008,0
17,2009,0
17,2010,0
17,2011,0
17,2012,0
17,2013,0
18,2000,0
18,2001,0
18,2002,0
18,2003,0
18,2004,0
18,2005,0
18,2006,0
18,2007,0
18,2008,0
18,2009,1
18,2010,0
18,2011,0
18,2012,0
18,2013,0
18,2014,0
18,2015,0
18,2016,0
18,2017,0
19,2002,0
19,2005,0
19,2007,0
19,2008,0
20,2007,0
20,2008,0
20,2009,0
20,2010,1
20,2011,1
20,2012,1
20,2013,1
20,2014,0
20,2015,0
20,2016,0
20,2017,0
20,2018,0
20,2019,0
20,2020,0
20,2021,0
20,2022,0
21,1996,0
21,1997,0
21,1998,0
21,1999,0
21,2000,0
21,2001,0
21,2002,0
21,2003,0
21,2004,0
21,2005,0
21,2006,0
21,2007,0
21,2008,0
21,2009,0
22,1993,0
22,1994,0
22,1995,0
22,1996,0
22,1997,0
22,1998,0
22,1999,0
22,2000,0
22,2001,0
22,2002,0
22,2003,0
22,2004,0
22,2005,0
22,2006,0
22,2007,0
22,2008,0
22,2009,0
22,2010,0
22,2011,0
23,1997,0
23,1998,0
23,1999,0
23,2000,0
23,2001,0
23,2002,0
23,2003,0
23,2004,0
23,2005,0
23,2006,0
23,2007,0
24,2005,0
24,2006,0
24,2007,0
24,2009,0
24,2010,0
24,2011,0
25,1997,0
25,1998,0
25,1999,0
25,2000,0
25,2005,0
25,2007,0
26,2006,0
26,2007,0
27,2005,0
27,2006,0
27,2007,0
28,2007,0
29,2006,0
29,2007,0
29,2010,0
30,1991,0
30,1992,0
30,1993,0
30,1994,1
30,1995,1
30,1996,0
30,1997,0
30,1998,0
30,1999,0
30,2000,1
30,2001,1
30,2002,1
30,2003,1
30,2004,1
30,2005,0
30,2006,0
30,2010,0
30,2011,0
30,2012,0
32,2004,0
32,2005,0
32,2006,0
32,2010,0
33,2005,0
33,2006,0
34,2006,0
35,1996,0
35,1997,1
35,1998,0
35,1999,0
35,2000,0
35,2001,0
35,2002,0
35,2003,0
35,2004,0
35,2005,0
35,2006,0
36,2006,0
37,1999,0
37,2000,0
37,2001,0
37,2002,0
37,2005,0
37,2006,0
37,2010,0
37,2011,0
37,2012,0
38,2005,0
38,2006,0
39,2005,0
39,2011,0
39,2012,0
40,2005,0
41,1999,0
41,2000,0
41,2001,0
41,2004,0
41,2005,0
42,2003,0
42,2004,0
42,2005,0
43,2003,0
43,2004,0
44,1994,0
44,1995,0
44,1996,0
44,1997,0
44,1998,0
44,1999,0
44,2001,0
44,2002,0
44,2003,0
44,2004,0
45,2004,0
46,2004,0
47,2003,0
47,2004,0
48,1999,0
48,2000,0
48,2003,0
48,2004,0
49,1994,0
49,1995,0
49,1996,0
49,1997,0
49,1998,0
49,1999,0
49,2000,0
49,2001,0
49,2002,0
49,2003,0
50,1994,0
50,1995,0
50,1996,0
50,1997,0
50,1998,0
50,2000,0
50,2001,0
50,2003,0
51,2003,0
52,2003,0
53,2003,0
54,2000,0
54,2001,0
55,1989,0
55,1990,0
55,1991,0
55,1992,0
55,1993,0
55,1994,0
55,1995,0
55,1996,0
55,1997,0
55,1998,0
55,1999,0
55,2000,0
55,2001,0
56,1993,0
56,1994,0
56,1995,0
56,1996,0
56,1997,0
56,1998,0
56,1999,0
56,2000,0
56,2001,0
56,2002,0
57,1991,0
57,1992,0
57,1993,0
57,1994,0
57,1995,0
57,1996,0
57,1997,0
57,1998,1
