driverId,raceId,finalPosition,gridPosition,points,qual1,qual2,qual3
1,1,-1,18,0.0,00:01:26.4540000,NULL,NULL
1,2,7,12,1.0,00:01:35.2800000,00:01:34.9050000,NULL
1,3,6,9,3.0,00:01:35.7760000,00:01:35.7400000,00:01:38.5950000
1,4,4,5,5.0,00:01:32.8510000,00:01:32.8770000,00:01:34.1960000
1,5,9,14,0.0,00:01:20.9910000,00:01:20.8050000,NULL
1,6,12,19,0.0,00:01:16.2640000,NULL,NULL
1,7,13,16,0.0,00:01:28.3180000,NULL,NULL
1,8,16,18,0.0,00:01:19.9170000,NULL,NULL
1,9,18,5,0.0,00:01:31.4730000,00:01:39.1490000,00:01:32.6160000
1,10,1,4,10.0,00:01:20.8420000,00:01:20.4650000,00:01:21.8390000
1,11,2,1,8.0,00:01:38.6490000,00:01:38.1820000,00:01:39.4890000
1,12,-1,12,0.0,00:01:45.7670000,00:01:45.1220000,NULL
1,13,12,1,0.0,00:01:23.3750000,00:01:22.9730000,00:01:24.0660000
1,14,1,1,10.0,00:01:46.9770000,00:01:46.6570000,00:01:47.8910000
1,15,3,3,6.0,00:01:30.9170000,00:01:30.6270000,00:01:32.3950000
1,16,3,17,6.0,00:01:25.1920000,NULL,NULL
1,17,-1,1,0.0,00:01:39.8730000,00:01:39.6950000,00:01:40.9480000
1,18,1,1,10.0,00:01:26.5720000,00:01:25.1870000,00:01:26.7140000
1,19,5,9,4.0,00:01:35.3920000,00:01:34.6270000,00:01:36.7090000
1,20,13,3,0.0,00:01:32.7500000,00:01:31.9220000,00:01:33.2920000
1,21,3,5,6.0,00:01:21.3660000,00:01:20.8250000,00:01:22.0960000
1,22,2,3,8.0,00:01:26.1920000,00:01:26.4770000,00:01:27.9230000
1,23,1,3,10.0,00:01:15.5820000,00:01:15.3220000,00:01:15.8390000
1,24,-1,1,0.0,00:01:16.9090000,00:01:17.0340000,00:01:17.8860000
1,25,10,13,0.0,00:01:15.6340000,00:01:15.2930000,00:01:16.6930000
1,26,1,4,10.0,00:01:20.2880000,00:01:19.5370000,00:01:21.8350000
1,27,1,1,10.0,00:01:15.2180000,00:01:14.6030000,00:01:15.6660000
1,28,5,1,4.0,00:01:19.3760000,00:01:19.4730000,00:01:20.8990000
1,29,2,2,8.0,00:01:38.4640000,00:01:37.9540000,00:01:39.1990000
1,30,3,1,6.0,00:01:46.8870000,00:01:46.0880000,00:01:47.3380000
1,31,7,15,2.0,00:01:35.3940000,00:01:39.2650000,NULL
1,32,3,2,6.0,00:01:44.5010000,00:01:44.9320000,00:01:45.4650000
1,33,12,1,0.0,00:01:18.0710000,00:01:17.4620000,00:01:18.4040000
1,34,1,1,10.0,00:01:35.5660000,00:01:34.9470000,00:01:36.3030000
1,35,5,4,4.0,00:01:12.2130000,00:01:11.8560000,00:01:12.8300000
1,36,3,4,6.0,00:01:26.6740000,00:01:25.5770000,00:01:26.7550000
1,37,2,4,8.0,00:01:35.0280000,00:01:34.6500000,00:01:36.0450000
1,38,2,2,8.0,00:01:32.5800000,00:01:31.7520000,00:01:32.9350000
1,39,2,4,8.0,00:01:21.1200000,00:01:20.7130000,00:01:21.7850000
1,40,2,2,8.0,00:01:15.6850000,00:01:15.4790000,00:01:15.9050000
1,41,1,1,10.0,00:01:16.5760000,00:01:15.4860000,00:01:15.7070000
1,43,3,2,6.0,00:01:14.8050000,00:01:14.7950000,00:01:15.1040000
1,44,3,1,6.0,00:01:19.8850000,00:01:19.4000000,00:01:19.9970000
1,45,9,10,0.0,00:01:31.5870000,00:01:31.1850000,00:01:33.8330000
1,46,1,1,10.0,00:01:19.5700000,00:01:19.3010000,00:01:19.7810000
1,47,5,2,4.0,00:01:27.5130000,00:01:26.9360000,00:01:27.3730000
1,48,2,2,8.0,00:01:21.9560000,00:01:21.7460000,00:01:22.0340000
1,49,4,4,5.0,00:01:46.4370000,00:01:45.1320000,00:01:46.4060000
1,50,1,1,10.0,00:01:25.4890000,00:01:24.7530000,00:01:25.3680000
1,51,-1,1,0.0,00:01:35.7980000,00:01:35.8980000,00:01:35.9080000
1,52,7,2,2.0,00:01:13.0330000,00:01:12.2960000,00:01:12.0820000
1,337,3,4,15.0,00:01:55.3410000,00:01:54.7070000,00:01:55.2170000
1,338,6,11,8.0,00:01:25.0460000,00:01:25.1840000,NULL
1,339,6,20,8.0,00:01:53.0500000,NULL,NULL
1,340,2,6,18.0,00:01:35.6410000,00:01:34.9280000,00:01:35.0340000
1,341,14,3,0.0,00:01:21.7230000,00:01:21.4150000,00:01:20.8290000
1,342,5,5,10.0,00:01:15.6760000,00:01:14.5270000,00:01:14.4320000
1,343,1,2,25.0,00:01:27.6670000,00:01:27.0130000,00:01:26.4330000
1,344,1,1,25.0,00:01:15.8890000,00:01:15.5280000,00:01:15.1050000
1,345,2,3,18.0,00:01:38.6970000,00:01:38.1580000,00:01:37.9690000
1,346,2,4,18.0,00:01:31.2970000,00:01:31.1180000,00:01:30.5560000
1,347,4,6,12.0,00:01:15.5050000,00:01:14.4880000,00:01:14.5660000
1,348,-1,5,0.0,00:01:21.4550000,00:01:20.8770000,00:01:20.4990000
1,349,1,2,25.0,00:01:56.7060000,00:01:46.2110000,00:01:45.8630000
1,350,-1,5,0.0,00:01:22.8300000,00:01:22.3940000,00:01:22.6230000
1,351,-1,3,0.0,00:01:48.2960000,00:01:46.0420000,00:01:45.5710000
1,352,5,8,10.0,00:01:32.8090000,00:01:31.5230000,00:01:31.1690000
1,353,2,4,18.0,00:01:37.1130000,00:01:36.1970000,00:01:36.0620000
1,354,4,4,12.0,00:01:19.9310000,00:01:18.9210000,00:01:15.7470000
1,355,2,2,18.0,00:01:40.3350000,00:01:40.1190000,00:01:39.4250000
1,841,2,2,18.0,00:01:25.3840000,00:01:24.5950000,00:01:24.3070000
1,842,8,2,4.0,00:01:36.8610000,00:01:35.8520000,00:01:34.9740000
1,843,1,3,25.0,00:01:36.0910000,00:01:34.4860000,00:01:34.4630000
1,844,4,4,12.0,00:01:27.0910000,00:01:26.0660000,00:01:25.5950000
1,845,2,3,18.0,00:01:24.3700000,00:01:22.1480000,00:01:21.9610000
1,846,6,9,8.0,00:01:15.2070000,00:01:14.2750000,00:01:15.2800000
1,847,-1,5,0.0,00:01:14.1140000,00:01:13.9260000,00:01:13.5650000
1,848,4,3,12.0,00:01:39.2440000,00:01:37.7270000,00:01:37.3800000
1,849,4,10,12.0,00:01:33.5810000,00:01:32.5050000,00:01:32.3760000
1,850,1,2,25.0,00:01:32.9340000,00:01:30.9980000,00:01:30.1340000
1,851,4,2,12.0,00:01:21.6360000,00:01:21.1050000,00:01:19.9780000
1,852,-1,2,0.0,00:02:03.0080000,00:02:02.8230000,00:01:48.7300000
1,853,4,2,12.0,00:01:23.9760000,00:01:23.1720000,00:01:22.7250000
1,854,5,4,10.0,00:01:47.0140000,00:01:46.8290000,00:01:44.8090000
1,855,5,3,10.0,00:01:32.8430000,00:01:31.1390000,00:01:30.6170000
1,856,2,1,18.0,00:01:37.5250000,00:01:36.5260000,00:01:35.8200000
1,857,7,5,6.0,00:01:26.5630000,00:01:25.0190000,00:01:24.4740000
1,858,1,2,25.0,00:01:39.7820000,00:01:38.4340000,00:01:38.6220000
1,859,-1,4,0.0,00:01:13.3610000,00:01:12.8110000,00:01:12.4800000
1,860,3,1,15.0,00:01:26.8000000,00:01:25.6260000,00:01:24.9220000
1,861,3,1,15.0,00:01:37.8130000,00:01:37.1060000,00:01:36.2190000
1,862,3,7,15.0,00:01:36.7630000,00:01:35.9020000,00:01:35.6260000
1,863,8,2,4.0,00:01:34.8130000,00:01:33.2090000,00:01:32.5200000
1,864,8,24,4.0,00:01:22.5830000,00:01:22.4650000,00:01:21.7070000
1,865,5,3,10.0,00:01:16.0630000,00:01:15.1660000,00:01:14.5830000
1,866,1,2,25.0,00:01:14.8910000,00:01:14.3710000,00:01:14.0870000
1,867,19,2,0.0,00:01:39.1690000,00:01:38.6160000,00:01:38.4100000
1,868,8,8,4.0,00:01:47.4330000,00:01:54.8970000,00:01:53.5430000
