lid,country,nationality
1,Argentina,Argentinian
2,Australia,Australian
3,Austria,Austrian
4,Azerbaijan,
5,Bahrain,
6,Belgium,Belgian
7,United States,American
8,Brazil,Brazilian
9,Canada,Canadian
10,Chile,Chilean
11,China,Chinese
12,Czech Republic,Czech
13,Denmark,Danish
14,East Germany,East German
15,Finland,Finnish
16,France,French
17,Germany,German
18,Hungary,Hungarian
19,India,Indian
20,Indonesia,Indonesian
21,Italy,Italian
22,Japan,Japanese
23,Korea,
24,Liechtenstein,Liechtensteiner
25,Malaysia,Malaysian
26,Mexico,Mexican
27,Monaco,Monegasque
28,Morocco,
29,Netherlands,Dutch
30,New Zealand,New Zealander
31,Poland,Polish
32,Portugal,Portuguese
33,Qatar,
34,Rhodesia,Rhodesian
35,Russia,Russian
36,Saudi Arabia,
37,Singapore,
38,South Africa,South African
39,Spain,Spanish
40,Sweden,Swedish
41,Switzerland,Swiss
42,Thailand,Thai
43,Turkey,
44,UAE,
45,UK,British
46,USA,American
47,Uruguay,Uruguayan
48,Venezuela,Venezuelan
49,,Irish
50,,American-Italian
51,,Argentine-Italian
52,,Austrian-Italian
53,,Hong Kong
